title,price_gbp,price_inr,rating,in_stock,category
A Light in the Attic,51.77,5461.735000000001,3,True,Poetry
Tipping the Velvet,53.74,5669.570000000001,1,True,Historical Fiction
Soumission,50.1,5285.55,1,True,Fiction
Sharp Objects,47.82,5045.01,4,True,Mystery
Sapiens: A Brief History of Humankind,54.23,5721.264999999999,5,True,History
The Requiem Red,22.65,2389.575,1,True,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.34,3517.3700000000003,4,True,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,1891.615,3,True,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,2384.3,4,True,Default
The Black Maria,52.15,5501.825,1,True,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,1475.945,2,True,Default
Shakespeare's Sonnets,20.66,2179.63,4,True,Poetry
Set Me Free,17.46,1842.0300000000002,5,True,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.595,5,True,Sequential Art
Rip it Up and Start Again,35.02,3694.61,5,True,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,6039.875,3,True,Music
Olio,23.88,2519.3399999999997,1,True,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,3965.7450000000003,1,True,Science Fiction
Libertarianism for Beginners,51.33,5415.315,2,True,Politics
It's Only the Himalayas,45.17,4765.435,2,True,Travel
In Her Wake,12.84,1354.62,1,True,Thriller
How Music Works,37.32,3937.26,2,True,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3219.86,3,True,Food and Drink
Chase Me (Paris Nights #2),25.27,2665.985,5,True,Romance
Black Dust,34.53,3642.915,5,True,Romance
Birdsong: A Story in Pictures,54.64,5764.52,3,True,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,2373.75,3,True,Default
Aladdin and His Wonderful Lamp,53.13,5605.215,3,True,Default
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,4251.65,5,True,Nonfiction
Wall and Piece,44.18,4660.99,4,True,Art
The Four Agreements: A Practical Guide to Personal Freedom,17.66,1863.13,5,True,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3275.775,3,True,Nonfiction
The Elephant Tree,23.82,2513.01,5,True,Thriller
The Bear and the Piano,36.89,3891.895,1,True,Childrens
Sophie's World,15.94,1681.6699999999998,5,True,Philosophy
Penny Maybe,33.29,3512.095,3,True,Default
Maude (1883-1993):She Grew Up with the country,18.02,1901.11,2,True,Default
"In a Dark, Dark Wood",19.63,2070.9649999999997,1,True,Mystery
Behind Closed Doors,52.22,5509.21,4,True,Thriller
You can't bury them all: Poems,33.63,3547.965,2,True,Poetry
Slow States of Collapse: Poems,57.31,6046.205,3,True,Poetry
Reasons to Stay Alive,26.41,2786.255,2,True,Nonfiction
Private Paris (Private #10),47.61,5022.855,5,True,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2438.105,5,True,Nonfiction
Without Borders (Wanderlove #1),45.07,4754.885,2,True,New Adult
When We Collided,31.77,3351.735,1,True,Contemporary
"We Love You, Charlie Freeman",50.27,5303.485000000001,5,True,Fiction
Untitled Collection: Sabbath Poems 2014,14.27,1505.485,4,True,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4660.99,4,True,Nonfiction
Unicorn Tracks,18.78,1981.2900000000002,3,True,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,2692.36,1,True,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1717.5400000000002,1,True,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3283.1600000000003,3,True,Nonfiction
This One Summer,19.49,2056.1949999999997,4,True,Sequential Art
Thirst,17.27,1821.985,5,True,Fiction
The Torch Is Passed: A Harding Family Story,19.09,2013.995,1,True,Add a comment
The Secret of Dreadwillow Carse,56.13,5921.715,1,True,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,5951.254999999999,1,True,Food and Drink
The Past Never Ends,56.5,5960.75,4,True,Mystery
The Natural History of Us (The Fine Art of Pretending #2),45.22,4770.71,3,True,Young Adult
The Nameless City (The Nameless City #1),38.16,4025.8799999999997,4,True,Sequential Art
The Murder That Never Was (Forensic Instincts #5),54.11,5708.605,3,True,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4532.28,4,True,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,2520.395,4,True,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,1769.235,3,True,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,2172.245,5,True,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,3917.215,1,True,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,5914.33,1,True,Nonfiction
The Death of Humanity: and the Case for Life,58.11,6130.605,4,True,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,5174.775,3,True,Health
The Art Forger,40.76,4300.179999999999,3,True,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,2081.515,1,True,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,3401.32,5,True,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4413.065,4,True,Nonfiction
Soul Reader,39.58,4175.69,2,True,Default
Security,39.25,4140.875,2,True,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,2639.61,3,True,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,5384.72,2,True,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2092.0649999999996,2,True,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,5317.2,3,True,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.855,5,True,Sequential Art
